500,279168121,311371034,170314192,164116726,168395270,175465298,188069451,
1000,378296275,373634182,359886180,362378434,400993482,363731774,374553096,
1500,607323870,606632627,619531533,615530044,611006932,592611958,584872370,
2000,839497028,830634872,855267478,844855188,835641680,819258740,805750504,
2500,1073377093,1086965820,1076201718,1086089659,1027411759,1062670358,1084803096,
3000,1317495419,2091761292,1337702159,1363947104,1365128495,1343822881,1360254442,
3500,1613503920,1626464588,1579823820,1644031297,1569483199,1632894892,1602154947,
4000,1871823732,1849437633,1877036561,1868658376,1843215485,1874581056,1798499702,
4500,2179669162,2154209580,2140239801,2175930443,2137704247,2154749720,2138548931,
5000,2400355799,2460896568,2431401899,2447305037,2374095833,2403069416,2435556903,
5500,2681371719,2707440898,2736771676,2742937661,2726648322,2704701200,2698152435,
6000,3010391934,3026109400,2950238542,3008903115,2977238916,3024121153,3030166109,
6500,3356172683,3310210187,3253644698,3282183611,5007526667,3211235590,3248867836,
7000,3707812749,3601185983,3613718191,3803354671,3534254920,3589621942,3571590693,
7500,3916659676,3836187465,3888944220,3895787604,3915264447,3947429896,3867921383,
8000,4282200554,4203481616,4113801775,4247332943,4218203500,4210571760,4241859782,
8500,4500483233,4537302946,4538577922,4418657937,4465564054,4483032084,4481198798,
9000,4787853644,4843533647,4814605246,4752209154,4710465683,4739044885,4769678359,
9500,5070564785,5099769643,5039287008,5071872345,7470624904,5107511270,5041563675,
10000,5348990875,5296326539,5300606458,5319338636,5423177833,5426867105,5430765581,
10500,5579567236,5589064127,5573995145,5603220008,5617359791,5614172488,5594968830,
11000,5258511770,5736609964,5832209077,5814698548,5816905629,5773604775,5754428141,
11500,6043853565,6133371490,5495912455,6023764010,6050451957,6074564687,6225485920,
12000,5788569036,6192974514,6313491361,6326265902,6465856671,5836814102,6227359472,
12500,6596516319,6611849111,6679470165,6080243680,6944311254,6828891184,7457205467,
13000,6668408608,7177871313,6908332579,7223267787,6376276537,6851433591,6873691222,
13500,7122409438,6601950461,7120649831,7270406079,6580566202,7063402519,7148887500,
14000,7393255667,7230384026,6863931882,10776450455,7361971458,7319990969,10773071250,
14500,7681388078,7576945188,11198594198,7688790499,7595468949,11145504567,7686297034,
15000,7947007343,11482405996,7886617231,7960825162,11553795190,7877643512,7856744021,
15500,11871671570,8195907229,8144940674,11729900660,8217944336,8112954428,11842301491,
16000,8500796925,8373809243,12131994864,8509456412,8458325084,8511920677,7982079537,
16500,8705863909,12210432005,8715038757,8773780838,8836237448,8155353364,8676507807,
17000,12560704233,8999025167,8961112050,8746604425,8467995981,8815383169,8702303395,
17500,8931835941,9389580483,9316679208,8998456238,9348490004,9400726223,9010094778,
18000,9541140924,9527570821,9298855678,9168136235,9313596913,9337739595,9131234472,
18500,9542011198,9557061347,9431527104,9672270779,9720646564,9512497757,9397891057,
19000,10404533081,14282150173,10197419092,10086946425,14197833751,10225176304,10059919636,
19500,14745097248,10447812991,10338795210,10261895411,10165182908,10371273902,10274160178,
20000,15254938386,10728558850,10669197071,10730075812,10535129891,10773973324,10706755771,
